"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"zacatecas","Registro Civil de Jiménez del Téul","Morelo0s n° 22, Col. Centro, C.P. 99280, Jiménez del Téul, Zacatecas","","","01 457 988 30 45"
"zacatecas","Registro Civil de Juan Aldama","Av. Centenario n° 5, Col. Centro, C.P. 98300, Juan Aldama, Zacatecas","","","01 498 983 01 50 y 01 498 983 02 41"
"zacatecas","Registro Civil de Loreto","Independencia s/n, Col. Centro, C.P. 98800, Loreto, Zacatecas","","","01 496 962 01 19 ext. 107"
"zacatecas","Registro Civil de Luis Moya","Morelos s/n, Col. Centro, C.P. 98770, Luis Moya, Zacatecas","","","01 458 987 00 55"
"zacatecas","Registro Civil de Mazapil","Guerrero n° 22, Col. Centro, C.P. 98230, Mazapil, Zacatecas","","","01 842 424 20 14 y 01 842 424 20 13"
"zacatecas","Registro Civil de Mezquital del Oro","Niños Héroes n° 7, Col. Centro, C.P. 99860, Mezquital del Oro, Zacatecas","","","01 467 952 82 52"
"zacatecas","Registro Civil de Miguel Auza","Constitución n° 32, Col. Centro, C.P. 98330, Miguel Auza, Zacatecas","","","01 433 984 01 01"
"zacatecas","Registro Civil Momax","I. Allende No. 13, Col. Centro, C.P. 99720, Momax, Zacatecas","","","01 437 991 00 21"
"zacatecas","Registro Civil de Monte Escobedo","Jardín Zaragoza n° 7, Col. Centro, C.P. 99400, Monte Escobedo, Zacatecas","","","01 457 948 01 71"
"zacatecas","Registro Civil de Morelos","Plaza Principal n° 1, Col. Centro, C.P. 98100, Morelos, Zacatecas","","","01 492 931 00 72"
"zacatecas","Registro Civil de Moyahua de Estrada","Av. Juárez n° 199, Col. Centro, C.P. 99980, Moyahua de Estrada, Zacatecas","","","01 467 961 51 21"
"zacatecas","Registro Civil de Nochistlán","Hidalgo n° 1, Col. Centro, C.P. 99900, Nochistlán, Zacatecas","","","01 346 713 02 33 y 01 346 713 02 29 EXT. 114 Y 117"
"zacatecas","Registro Civil de Noria de Angeles","Hidalgo s/n, Col. Noria de Angeles, C.P. 98700, Noria de Angeles, Zacatecas","","","01 496 967 70 13 y 01 496 967 70 14"
"zacatecas","Registro Civil de Ojocaliente","Plaza Principal n° 4, Col. Centro, C.P. 98710, Ojocaliente, Zacatecas","","","01 458 944 00 87"
"zacatecas","Registro Civil de Panuco","Allende n° 1, Col. Centro, C.P. 98540, Panuco, Zacatecas","","","01 478 584 70 06 y 01 478 584 70 08"
"zacatecas","Registro Civil de Plateado de Joaquín Amaro El","Morelos s/n, Col. Centro, C.P. 99590, Plateado de Joaquín Amaro El, Zacatecas","","","01 499 926 07 92"
"zacatecas","Registro Civil de Pinos","Plaza Principal s/n Col. Centro, C.P. 98920, Pinos, Zacatecas","","","01 496 864 02 07"
"zacatecas","Registro Civil de Río Grande","Constitución No. 36, Col. Centro, C.P. 98400, Río Grande, Zacatecas","","","01 498 982 04 54 ext. 34"
"zacatecas","Registro Civil de Saín Alto","Constitución n° 6, Col. Centro, C.P. 99130, Saín Alto, Zacatecas","","","01 498 934 07 00 y 01 498 934 07 59"
"zacatecas","Registro Civil de Santa María de la Paz","Zacatecas n° 1, Col. Centro, C.P. 99809, Santa María de la Paz, Zacatecas","","","01 467 957 60 94"
"zacatecas","Registro Civil de Sombrerete","Portal Hidalgo s/n, Col. Centro, C.P. 99631, Tabasco, Zacatecas","","","01 433 935 00 88 y 01 433 935 00 71"
"zacatecas","Registro Civil de Susticacán","Plaza Centenario s/n, Presidencia Municipal, C.P. 99480, Susticacán, Zacatecas","","","0101 494 936 00 00"
"zacatecas","Registro Civil de Tabasco","Portal Hidalgo s/n, Col. Centro, C.P. 99631, Tabasco, Zacatecas","","","01 463 957 05 05 ext. 111"
"zacatecas","Registro Civil de Tepechitlán","Morelos n° 15, Col. Centro, C.P. 99750, Tepechitlán, Zacatecas","","","01 437 961 01 78"
"zacatecas","Registro Civil de Tepetongo","Av. Iturbide n° 32, Zona Centro, C.P. 99570, Tepetongo, Zacatecas","","","01 494 941 80 22"
"zacatecas","Registro Civil de Teul de González Ortega","Libertad n° 10, Col. Centro, C.P. 99800, Teul de González Ortega, Zacatecas","","","01 467 952 71 14 y 01 467 952 77 20"
"zacatecas","Registro Civil de Tlaltenango","Libertad n° 1, Col. Centro, C.P. 99700, Tlaltenango, Zacatecas","","","01 437 954 01 64 y 01 954 02 04"
"zacatecas","Registro Civil de Trancoso","Gral. Barragan n° 1, Col. Centro, C.P. 98640, Trancoso, Zacatecas","","","01 492 931 20 09 ext. 107"
"zacatecas","Registro Civil de Trinidad García de la Cadena","Francisco García Salinas n° 3, Col. Centro, C.P. 99830, Trinidad garcía de la cadena, Zacatecas","","","01 467 969 00 96 ext. 21"
"zacatecas","Registro Civil de Valparaíso","Plaza Constitución s/n, Col. Centro, C.P. 99200, Valparaíso, Zacatecas","","","01 457 936 03 50 y 01 457 936 01 85"
"zacatecas","Registro Civil de Villa de Cos","Av. Hidalgo n° 5, Col. Centro C.P. 98430, Villa de Cos, Zacatecas","","","01 458 931 41 01"
"zacatecas","Registro Civil de Villa García","Adolfo López Mateos No. 102, Col. Centro, C.P. 98900, Villa García, Zacatecas","","","01 496 962 09 10 y 01 496 962 10 33"
"zacatecas","Registro Civil de Villa González Ortega","Madero n° 5 Col. Centro, C.P. 98840, Villa González Ortega, Zacatecas","","","01 496 965 40 33"
"zacatecas","Registro Civil de Villa HIdalgo","Zaragoza n° 13 Col. Centro, Villa Hidalgo, Zacatecas","","","01 496 965 24 91"
"zacatecas","Registro Civil de Villanueva","Plaza Principal s/n, Col. Centro, C.P. 99500, Villanueva, Zacatecas","","","01 499 926 00 11 y 01 499 926 01 11"
"zacatecas","Registro Civil de Zacatecas","Calz. Héroes de Chapultepec n° 1110, Col. Lázaro Cárdenas, C.P. 98040, Zacatecas, Zacatecas","","","01 492 923 94 21 ext. 1673 y 1674"
"zacatecas","INEGI Zacatecas","Av. Hidalgo n° 626, Col. Zona Centro, C.P. 98000, Zacatecas, Zacatecas","","","01 492 922 60 53 Ext. 6118"
"zacatecas","Instituto Nacional de Migración Delegación Regional Zacatecas","Av. Constitución n° 122, Col. Lomas de la Soledad, Zacatecas, Zacatecas.","","","01 492 925 00 58 y 59 ext. 210"
